,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist,genre
565,0.213,0.0656,7.0,-24.81,1.0,0.0467,0.992,0.969,0.0699,0.0384,65.023,3U8Fx7zNTQrctytkj6Gqgd,150147.0,3.0,Carnival of the Animals: The Swan,Camille Saint-Sa?ns,classical
566,0.368,0.00363,1.0,-36.759,1.0,0.035,0.993,0.922,0.137,0.085,69.363,1L4NadMj3Jj7YgGaikyhfr,254000.0,3.0,"6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)",Franz Liszt,classical
567,0.701,0.341,1.0,-12.26,0.0,0.0418,0.499,0.903,0.359,0.163,105.513,5xbuJuQsTVheVZvX2AJVIv,151507.0,3.0,"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",Max Richter,classical
568,0.392,0.0536,4.0,-23.399,1.0,0.0571,0.995,0.867,0.0808,0.0417,71.286,6YDgMoJ8ssOuKjQ6jiz4Kk,234467.0,4.0,"12 ¨¦tudes, Op. 10: No. 3 in E Major",Fr¨¦d¨¦ric Chopin,classical
569,0.33,0.00274,2.0,-37.342,0.0,0.0617,0.992,0.908,0.0668,0.188,61.088,4tKmydUDl8OIeb7fioEsnl,143532.0,4.0,Sonata No. 42 in D Minor (Arr. ¨®lafsson),Domenico Cimarosa,classical
570,0.499,0.351,9.0,-11.509,0.0,0.0448,0.951,9.94e-05,0.118,0.616,90.664,28XMNc5If5BmJWYDU42gkw,235947.0,4.0,"Violin Concerto No.1 In A Minor, BWV 1041: 1. (Allegro moderato)",Johann Sebastian Bach,classical
571,0.261,0.0149,1.0,-27.528,1.0,0.0419,0.992,0.897,0.102,0.0382,75.296,2d6ml9Qkx8r4EjuUyrdpRV,286987.0,4.0,"Nocturne No.1 In B Flat Minor, Op.9 No.1",Fr¨¦d¨¦ric Chopin,classical
572,0.364,0.00799,8.0,-33.09,1.0,0.0395,0.978,0.894,0.109,0.0674,101.226,1eqyKmkcp7b2s1PU9fEZRS,216093.0,4.0,Full Moon (Arr. Lewin for Guitar),Ludovico Einaudi,classical
573,0.191,0.0582,8.0,-25.398,1.0,0.0578,0.961,0.89,0.0941,0.0454,132.614,3weNRklVDqb4Rr5MhKBR3D,357707.0,1.0,Nuvole Bianche,Ludovico Einaudi,classical
574,0.205,0.129,7.0,-18.197,1.0,0.0595,0.968,0.946,0.101,0.296,136.871,7N2tmiKcG2bUgZkuRKXor4,169924.0,4.0,"Cello Suite No.1 In G Major, BWV 1007: 1. Pr¨¦lude",Johann Sebastian Bach,classical
